Date,Close/Last,Volume,Open,High,Low
01/29/2024,$168.48,5370663,$166.31,$168.51,$166.08
01/26/2024,$166.90,6653731,$169.07,$169.5675,$166.62
01/25/2024,$172.63,7234383,$177.17,$178.395,$172.43
01/24/2024,$174.14,9728994,$171.39,$175.955,$170.67
01/23/2024,$167.05,5053559,$167.76,$168.00,$164.71
01/22/2024,$168.30,7176443,$168.18,$171.905,$167.64
01/19/2024,$167.94,9159006,$162.57,$168.28,$162.30
01/18/2024,$160.34,8133734,$158.66,$160.735,$156.776
01/17/2024,$153.37,6630647,$153.11,$153.75,$150.20
01/16/2024,$153.76,6528042,$151.30,$154.24,$149.84
01/12/2024,$151.25,4083673,$152.20,$152.40,$150.37
01/11/2024,$151.95,5995644,$150.25,$152.44,$148.48
01/10/2024,$149.81,5035695,$151.77,$151.90,$148.24
01/09/2024,$151.03,5606916,$149.87,$151.6899,$148.93
01/08/2024,$151.56,6515509,$149.83,$152.79,$149.72
01/05/2024,$149.00,5400055,$150.08,$151.52,$148.05
01/04/2024,$149.31,6196064,$149.80,$152.00,$148.75
01/03/2024,$151.45,6100066,$151.71,$153.17,$150.73
01/02/2024,$154.37,8607329,$160.00,$160.11,$153.4341
12/29/2023,$162.07,2905929,$163.11,$163.5577,$160.70
12/28/2023,$163.12,2909720,$165.00,$165.01,$162.85
12/27/2023,$164.21,3319561,$164.54,$164.99,$163.53
12/26/2023,$164.28,2520478,$162.30,$164.9712,$162.10
12/22/2023,$162.05,2770624,$161.60,$163.00,$160.84
12/21/2023,$161.39,4257488,$161.00,$161.82,$159.58
12/20/2023,$156.92,5488666,$160.81,$162.00,$156.83
12/19/2023,$162.33,4958240,$160.58,$162.73,$160.02
12/18/2023,$160.36,4772322,$160.89,$161.345,$157.73
12/15/2023,$161.95,8577337,$162.21,$164.2087,$161.485
12/14/2023,$161.74,7401171,$157.77,$163.06,$157.705
12/13/2023,$156.99,5561691,$157.03,$158.38,$154.625
12/12/2023,$157.22,5705165,$155.14,$158.1753,$154.64
12/11/2023,$155.14,6945752,$149.21,$155.66,$149.135
12/08/2023,$147.72,4990196,$147.42,$148.81,$145.99
12/07/2023,$148.39,5753646,$146.96,$148.54,$144.57
12/06/2023,$144.70,4491107,$148.68,$148.72,$144.69
12/05/2023,$146.15,5206319,$146.53,$147.47,$145.22
12/04/2023,$148.27,5859577,$150.04,$150.66,$145.655
12/01/2023,$151.59,4929366,$149.56,$151.98,$148.63
11/30/2023,$149.78,7555619,$150.41,$150.48,$147.045
11/29/2023,$149.36,4975739,$150.24,$152.82,$148.853
11/28/2023,$148.06,5799571,$149.36,$149.99,$146.505
11/27/2023,$150.81,3429723,$149.50,$151.76,$148.77
11/24/2023,$150.34,1992027,$149.33,$150.66,$149.3282
11/22/2023,$149.48,5071873,$151.03,$153.7897,$149.02
11/21/2023,$149.25,6517877,$151.57,$151.81,$148.165
11/20/2023,$152.57,7093479,$148.88,$153.00,$148.81
11/17/2023,$148.59,18919640,$142.04,$149.05,$141.94
11/16/2023,$154.81,10513830,$155.40,$157.76,$151.20
11/15/2023,$155.37,4383341,$154.97,$156.77,$154.06
11/14/2023,$154.08,6504983,$153.03,$154.91,$152.14
11/13/2023,$149.74,4125187,$149.00,$150.25,$147.55
11/10/2023,$150.68,6700875,$145.19,$150.99,$144.67
11/09/2023,$143.17,4979876,$144.90,$147.21,$142.8901
11/08/2023,$144.23,4305862,$142.37,$144.525,$141.61
11/07/2023,$141.74,4886905,$140.00,$141.92,$139.69
11/06/2023,$140.36,4823202,$140.40,$140.79,$139.21
11/03/2023,$139.75,5560310,$139.49,$141.77,$139.075
11/02/2023,$138.51,6088377,$137.81,$139.78,$136.67
11/01/2023,$135.29,5127781,$133.03,$135.83,$132.775
10/31/2023,$132.35,4108171,$131.80,$132.55,$129.21
10/30/2023,$131.03,4604623,$131.96,$132.96,$129.82
10/27/2023,$131.30,4397310,$131.27,$133.11,$130.56
10/26/2023,$130.84,5462708,$131.11,$134.41,$130.51
10/25/2023,$130.11,7118080,$133.07,$133.26,$129.75
10/24/2023,$134.90,5238786,$135.33,$135.55,$133.5139
10/23/2023,$134.23,3820145,$133.20,$135.805,$131.90
10/20/2023,$134.12,6149460,$134.52,$136.15,$133.36
10/19/2023,$134.43,9400323,$142.84,$143.05,$133.7735
10/18/2023,$141.45,5357936,$139.90,$142.48,$138.10
10/17/2023,$142.72,5915937,$139.13,$142.79,$136.81
10/16/2023,$141.00,6097400,$141.76,$142.655,$139.7352
10/13/2023,$141.14,6601398,$147.05,$147.105,$140.72
10/12/2023,$145.00,8109885,$143.00,$148.40,$142.77
